1 ; Amrou Scout ; Creature — Kithkin Rebel Scout 2/1 ; 1W ; Common ; Quinton Hoover ;  Time Spiral
18 ; Foriysian Interceptor ; Creature — Human Soldier 0/5 ; 3W ; Common ; Anson Maddocks ;  Time Spiral
19 ; Fortify ; Instant ; 2W ; Common ; Christopher Moeller ;  Time Spiral
20 ; Gaze of Justice ; Sorcery ; W ; Common ; John Avon ;  Time Spiral
21 ; Griffin Guide ; Enchantment — Aura ; 2W ; Uncommon ; Jim Nelson ;  Time Spiral
22 ; Gustcloak Cavalier ; Creature — Human Knight 2/2 ; 3WW ; Uncommon ; Stuart Griffin ;  Time Spiral
23 ; Icatian Crier ; Creature — Human Spellshaper 1/1 ; 2W ; Common ; Michael Phillippi ;  Time Spiral
24 ; Ivory Giant ; Creature — Giant 3/4 ; 5WW ; Common ; Jeff Miracola ;  Time Spiral
25 ; Jedit's Dragoons ; Creature — Cat Soldier 2/5 ; 5W ; Common ; John Matson ;  Time Spiral
26 ; Knight of the Holy Nimbus ; Creature — Human Rebel Knight 2/2 ; WW ; Uncommon ; Wayne England ;  Time Spiral
27 ; Magus of the Disk ; Creature — Human Wizard 2/4 ; 2WW ; Rare ; Jeremy Jarvis ;  Time Spiral
28 ; Mangara of Corondor ; Legendary Creature — Human Wizard 1/1 ; 1WW ; Rare ; Zoltan Boros & Gabor Szikszai ;  Time Spiral
29 ; Momentary Blink ; Instant ; 1W ; Common ; Anthony S. Waters ;  Time Spiral
30 ; Opal Guardian ; Enchantment ; WWW ; Rare ; Christopher Rush ;  Time Spiral
31 ; Outrider en-Kor ; Creature — Kor Rebel Knight 2/2 ; 2W ; Uncommon ; D. Alexander Gregory ;  Time Spiral
32 ; Pentarch Paladin ; Creature — Human Knight 3/3 ; 2WWW ; Rare ; Jim Murray ;  Time Spiral
33 ; Pentarch Ward ; Enchantment — Aura ; 2W ; Common ; Dany Orizio ;  Time Spiral
34 ; Plated Pegasus ; Creature — Pegasus 1/2 ; 2W ; Uncommon ; Greg Hildebrandt ;  Time Spiral
35 ; Pull from Eternity ; Instant ; W ; Uncommon ; Ron Spears ;  Time Spiral
36 ; Pulmonic Sliver ; Creature — Sliver 3/3 ; 3WW ; Rare ; Jeff Easley ;  Time Spiral
37 ; Quilled Sliver ; Creature — Sliver 1/1 ; 1W ; Uncommon ; John Matson ;  Time Spiral
38 ; Restore Balance ; Sorcery ; ; Rare ; Mark Poole ;  Time Spiral
39 ; Return to Dust ; Instant ; 2WW ; Uncommon ; Wayne Reynolds ;  Time Spiral
40 ; Serra Avenger ; Creature — Angel 3/3 ; WW ; Rare ; Scott M. Fischer ;  Time Spiral
41 ; Sidewinder Sliver ; Creature — Sliver 1/1 ; W ; Common ; Ron Spencer ;  Time Spiral
42 ; Spirit Loop ; Enchantment — Aura ; 1W ; Uncommon ; Wayne Reynolds ;  Time Spiral
43 ; Temporal Isolation ; Enchantment — Aura ; 1W ; Common ; Stephen Tappin ;  Time Spiral
44 ; Tivadar of Thorn ; Legendary Creature — Human Lord 2/2 ; 1WW ; Rare ; Carl Critchlow ;  Time Spiral
45 ; Watcher Sliver ; Creature — Sliver 2/2 ; 3W ; Common ; Liz Danforth ;  Time Spiral
46 ; Weathered Bodyguards ; Creature — Human Soldier 2/5 ; 5W ; Rare ; Wayne Reynolds ;  Time Spiral
47 ; Zealot il-Vec ; Creature — Human Rebel 1/1 ; 2W ; Common ; Chippy ;  Time Spiral
48 ; Ancestral Vision ; Sorcery ; ; Rare ; Mark Poole ;  Time Spiral
49 ; Bewilder ; Instant ; 2U ; Common ; Ralph Horsley ;  Time Spiral
50 ; Brine Elemental ; Creature — Elemental 5/4 ; 4UU ; Uncommon ; Stephen Tappin ;  Time Spiral
51 ; Cancel ; Instant ; 1UU ; Common ; Mark Poole ;  Time Spiral
52 ; Careful Consideration ; Instant ; 2UU ; Uncommon ; Janine Johnston ;  Time Spiral
53 ; Clockspinning ; Instant ; U ; Common ; Zoltan Boros & Gabor Szikszai ;  Time Spiral
54 ; Coral Trickster ; Creature — Merfolk Rogue 2/1 ; 1U ; Common ; D. Alexander Gregory ;  Time Spiral
55 ; Crookclaw Transmuter ; Creature — Bird Wizard 3/1 ; 3U ; Common ; Ron Spencer ;  Time Spiral
56 ; Deep-Sea Kraken ; Creature — Kraken 6/6 ; 7UUU ; Rare ; Christopher Moeller ;  Time Spiral
57 ; Draining Whelk ; Creature — Illusion 1/1 ; 4UU ; Rare ; Mark Tedin ;  Time Spiral
58 ; Dream Stalker ; Creature — Illusion 1/5 ; 1U ; Common ; Brian Despain ;  Time Spiral
59 ; Drifter il-Dal ; Creature — Human Wizard 2/1 ; U ; Common ; Justin Sweet ;  Time Spiral
60 ; Errant Ephemeron ; Creature — Illusion 4/4 ; 6U ; Common ; Luca Zontini ;  Time Spiral
61 ; Eternity Snare ; Enchantment — Aura ; 5U ; Common ; Drew Tucker ;  Time Spiral
62 ; Fathom Seer ; Creature — Illusion 1/3 ; 1U ; Common ; Ralph Horsley ;  Time Spiral
63 ; Fledgling Mawcor ; Creature — Beast 2/2 ; 3U ; Uncommon ; Kev Walker ;  Time Spiral
64 ; Fool's Demise ; Enchantment — Aura ; 4U ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Time Spiral
65 ; Ixidron ; Creature — Illusion */* ; 3UU ; Rare ; Terese Nielsen ;  Time Spiral
66 ; Looter il-Kor ; Creature — Kor Rogue 1/1 ; 1U ; Common ; Mike Dringenberg ;  Time Spiral
67 ; Magus of the Jar ; Creature — Human Wizard 3/3 ; 3UU ; Rare ; Zoltan Boros & Gabor Szikszai ;  Time Spiral
68 ; Moonlace ; Instant ; U ; Rare ; Mike Dringenberg ;  Time Spiral
69 ; Mystical Teachings ; Instant ; 3U ; Common ; Ron Spears ;  Time Spiral
70 ; Ophidian Eye ; Enchantment — Aura ; 2U ; Common ; Zoltan Boros & Gabor Szikszai ;  Time Spiral
71 ; Paradox Haze ; Enchantment — Aura ; 2U ; Uncommon ; Greg Staples ;  Time Spiral
72 ; Psionic Sliver ; Creature — Sliver 2/2 ; 4U ; Rare ; Wayne England ;  Time Spiral
73 ; Riftwing Cloudskate ; Creature — Illusion 2/2 ; 3UU ; Uncommon ; Carl Critchlow ;  Time Spiral
74 ; Sage of Epityr ; Creature — Human Wizard 1/1 ; U ; Common ; Randy Gallegos ;  Time Spiral
75 ; Screeching Sliver ; Creature — Sliver 1/1 ; U ; Common ; Stuart Griffin ;  Time Spiral
76 ; Shadow Sliver ; Creature — Sliver 1/1 ; 2U ; Common ; Warren Mahy ;  Time Spiral
77 ; Slipstream Serpent ; Creature — Serpent 6/6 ; 7U ; Common ; Darrell Riche ;  Time Spiral
78 ; Snapback ; Instant ; 1U ; Common ; Alan Pollack ;  Time Spiral
79 ; Spell Burst ; Instant ; XU ; Uncommon ; Terese Nielsen ;  Time Spiral
80 ; Spiketail Drakeling ; Creature — Drake 2/2 ; 1UU ; Common ; Dave Dorman ;  Time Spiral
81 ; Sprite Noble ; Creature — Faerie 2/2 ; 1UU ; Rare ; Randy Gallegos ;  Time Spiral
82 ; Stormcloud Djinn ; Creature — Djinn 3/3 ; 4U ; Uncommon ; Greg Staples ;  Time Spiral
83 ; Teferi, Mage of Zhalfir ; Legendary Creature — Human Wizard 3/4 ; 2UUU ; Rare ; D. Alexander Gregory & Jeremy Jarvis ;  Time Spiral
84 ; Telekinetic Sliver ; Creature — Sliver 2/2 ; 2UU ; Uncommon ; Randy Elliott ;  Time Spiral
85 ; Temporal Eddy ; Sorcery ; 2UU ; Common ; Wayne England ;  Time Spiral
86 ; Think Twice ; Instant ; 1U ; Common ; Jim Nelson ;  Time Spiral
87 ; Tolarian Sentinel ; Creature — Human Spellshaper 1/3 ; 3U ; Common ; Thomas M. Baxa ;  Time Spiral
88 ; Trickbind ; Instant ; 1U ; Rare ; John Zeleznik ;  Time Spiral
89 ; Truth or Tale ; Instant ; 1U ; Uncommon ; Michael Phillippi ;  Time Spiral
90 ; Vesuvan Shapeshifter ; Creature — Shapeshifter 0/0 ; 3UU ; Rare ; Quinton Hoover ;  Time Spiral
91 ; Viscerid Deepwalker ; Creature — Homarid Warrior 2/3 ; 4U ; Common ; Heather Hudson ;  Time Spiral
92 ; Voidmage Husher ; Creature — Human Wizard 2/2 ; 3U ; Uncommon ; Chippy ;  Time Spiral
93 ; Walk the Aeons ; Sorcery ; 4UU ; Rare ; Jeremy Jarvis ;  Time Spiral
94 ; Wipe Away ; Instant ; 1UU ; Uncommon ; Jeff Miracola ;  Time Spiral
95 ; Assassinate ; Sorcery ; 2B ; Common ; Kev Walker ;  Time Spiral
96 ; Basal Sliver ; Creature — Sliver 2/2 ; 2B ; Common ; Drew Tucker ;  Time Spiral
97 ; Call to the Netherworld ; Sorcery ; B ; Common ; Vance Kovacs ;  Time Spiral
98 ; Corpulent Corpse ; Creature — Zombie 3/3 ; 5B ; Common ; Doug Chaffee ;  Time Spiral
99 ; Curse of the Cabal ; Sorcery ; 9B ; Rare ; John Avon ;  Time Spiral
100 ; Cyclopean Giant ; Creature — Zombie Giant 4/2 ; 2BB ; Common ; Mark Tedin ;  Time Spiral
101 ; Dark Withering ; Instant ; 4BB ; Common ; Wayne Reynolds ;  Time Spiral
102 ; Deathspore Thallid ; Creature — Zombie Fungus 1/1 ; 1B ; Common ; Randy Elliott ;  Time Spiral
103 ; Demonic Collusion ; Sorcery ; 3BB ; Rare ; Jim Nelson ;  Time Spiral
104 ; Dread Return ; Sorcery ; 2BB ; Uncommon ; Kev Walker ;  Time Spiral
105 ; Drudge Reavers ; Creature — Skeleton 2/1 ; 3B ; Common ; Greg Staples ;  Time Spiral
106 ; Endrek Sahr, Master Breeder ; Legendary Creature — Human Wizard 2/2 ; 4B ; Rare ; Mark Tedin ;  Time Spiral
107 ; Evil Eye of Urborg ; Creature — Eye 6/3 ; 4B ; Uncommon ; Clint Langley ;  Time Spiral
108 ; Faceless Devourer ; Creature — Nightmare Horror 2/1 ; 2B ; Uncommon ; Chippy ;  Time Spiral
109 ; Fallen Ideal ; Enchantment — Aura ; 2B ; Uncommon ; Anson Maddocks ;  Time Spiral
110 ; Feebleness ; Enchantment — Aura ; 1B ; Common ; Kev Walker ;  Time Spiral
111 ; Gorgon Recluse ; Creature — Gorgon 2/4 ; 3BB ; Common ; Darrell Riche ;  Time Spiral
112 ; Haunting Hymn ; Instant ; 4BB ; Uncommon ; rk post ;  Time Spiral
113 ; Liege of the Pit ; Creature — Demon 7/7 ; 5BBB ; Rare ; Jeremy Jarvis ;  Time Spiral
114 ; Lim-Dul the Necromancer ; Legendary Creature — Human Wizard 4/4 ; 5BB ; Rare ; Matt Cavotta ;  Time Spiral
115 ; Living End ; Sorcery ; ; Rare ; Greg Staples ;  Time Spiral
116 ; Magus of the Mirror ; Creature — Human Wizard 4/2 ; 4BB ; Rare ; Christopher Moeller ;  Time Spiral
117 ; Mana Skimmer ; Creature — Leech 2/2 ; 3B ; Common ; Daniel Gelon ;  Time Spiral
118 ; Mindlash Sliver ; Creature — Sliver 1/1 ; B ; Common ; Jeff Miracola ;  Time Spiral
119 ; Mindstab ; Sorcery ; 5B ; Common ; Mark Tedin ;  Time Spiral
120 ; Nether Traitor ; Creature — Spirit 1/1 ; BB ; Rare ; Vance Kovacs ;  Time Spiral
121 ; Nightshade Assassin ; Creature — Human Assassin 2/1 ; 2BB ; Uncommon ; Alan Pollack ;  Time Spiral
122 ; Phthisis ; Sorcery ; 3BBBB ; Uncommon ; Carl Critchlow ;  Time Spiral
123 ; Pit Keeper ; Creature — Human Wizard 2/1 ; 1B ; Common ; Anthony S. Waters ;  Time Spiral
124 ; Plague Sliver ; Creature — Sliver 5/5 ; 2BB ; Rare ; Dave Allsop ;  Time Spiral
125 ; Premature Burial ; Sorcery ; 1B ; Uncommon ; Clint Langley ;  Time Spiral
126 ; Psychotic Episode ; Sorcery ; 1BB ; Common ; Drew Tucker ;  Time Spiral
127 ; Sangrophage ; Creature — Zombie 3/3 ; BB ; Common ; Pete Venters ;  Time Spiral
128 ; Sengir Nosferatu ; Creature — Vampire 4/4 ; 3BB ; Rare ; Scott M. Fischer ;  Time Spiral
129 ; Skittering Monstrosity ; Creature — Horror 5/5 ; 3BB ; Uncommon ; rk post ;  Time Spiral
130 ; Skulking Knight ; Creature — Zombie Knight 3/3 ; 2B ; Common ; rk post ;  Time Spiral
131 ; Smallpox ; Sorcery ; BB ; Uncommon ; Janine Johnston ;  Time Spiral
132 ; Strangling Soot ; Instant ; 2B ; Common ; Jim Murray ;  Time Spiral
133 ; Stronghold Overseer ; Creature — Demon 5/5 ; 3BBB ; Rare ; Puddnhead ;  Time Spiral
134 ; Sudden Death ; Instant ; 1BB ; Uncommon ; Dave Allsop ;  Time Spiral
135 ; Sudden Spoiling ; Instant ; 1BB ; Rare ; Alan Pollack ;  Time Spiral
136 ; Tendrils of Corruption ; Instant ; 3B ; Common ; Mike Dringenberg ;  Time Spiral
137 ; Traitor's Clutch ; Instant ; 4B ; Common ; Dave Allsop ;  Time Spiral
138 ; Trespasser il-Vec ; Creature — Human Rogue 3/1 ; 2B ; Common ; Jim Murray ;  Time Spiral
139 ; Urborg Syphon-Mage ; Creature — Human Spellshaper 2/2 ; 2B ; Common ; Greg Staples ;  Time Spiral
140 ; Vampiric Sliver ; Creature — Sliver 3/3 ; 3B ; Uncommon ; Thomas M. Baxa ;  Time Spiral
141 ; Viscid Lemures ; Creature — Spirit 4/3 ; 4B ; Common ; Drew Tucker ;  Time Spiral
142 ; Atherflame Wall ; Creature — Wall 0/4 ; 1R ; Common ; Justin Sweet ;  Time Spiral
143 ; Ancient Grudge ; Instant ; 1R ; Common ; Jim Nelson ;  Time Spiral
144 ; Barbed Shocker ; Creature — Insect 2/2 ; 3R ; Uncommon ; Tony Szczudlo ;  Time Spiral
145 ; Basalt Gargoyle ; Creature — Gargoyle 3/2 ; 2R ; Uncommon ; Clint Langley ;  Time Spiral
146 ; Blazing Blade Askari ; Creature — Human Knight 2/2 ; 2R ; Common ; Dan Frazier ;  Time Spiral
147 ; Bogardan Hellkite ; Creature — Dragon 5/5 ; 6RR ; Rare ; Scott M. Fischer ;  Time Spiral
148 ; Bogardan Rager ; Creature — Elemental 3/4 ; 5R ; Common ; Clint Langley ;  Time Spiral
149 ; Bonesplitter Sliver ; Creature — Sliver 2/2 ; 3R ; Common ; Dany Orizio ;  Time Spiral
150 ; Coal Stoker ; Creature — Elemental 3/3 ; 3R ; Common ; Mark Zug ;  Time Spiral
151 ; Conflagrate ; Sorcery ; XXR ; Uncommon ; Warren Mahy ;  Time Spiral
152 ; Empty the Warrens ; Sorcery ; 3R ; Common ; Mark Brill ;  Time Spiral
153 ; Firemaw Kavu ; Creature — Kavu 4/2 ; 5R ; Uncommon ; Greg Hildebrandt ;  Time Spiral
154 ; Flamecore Elemental ; Creature — Elemental 5/4 ; 2RR ; Common ; Dave Dorman ;  Time Spiral
155 ; Flowstone Channeler ; Creature — Human Spellshaper 2/2 ; 2R ; Common ; Alan Pollack ;  Time Spiral
156 ; Fortune Thief ; Creature — Human Rogue 0/1 ; 4R ; Rare ; Christopher Moeller ;  Time Spiral
157 ; Fury Sliver ; Creature — Sliver 3/3 ; 5R ; Uncommon ; Parente ;  Time Spiral
158 ; Ghitu Firebreathing ; Enchantment — Aura ; 1R ; Common ; Jim Nelson ;  Time Spiral
159 ; Goblin Skycutter ; Creature — Goblin Warrior 2/1 ; 1R ; Common ; Clint Langley ;  Time Spiral
160 ; Grapeshot ; Sorcery ; 1R ; Common ; Pete Venters ;  Time Spiral
161 ; Greater Gargadon ; Creature — Beast 9/7 ; 9R ; Rare ; Rob Alexander ;  Time Spiral
162 ; Ground Rift ; Sorcery ; R ; Common ; Thomas M. Baxa ;  Time Spiral
163 ; Ib Halfheart, Goblin Tactician ; Legendary Creature — Goblin Advisor 3/2 ; 3R ; Rare ; Wayne Reynolds ;  Time Spiral
164 ; Ignite Memories ; Sorcery ; 4R ; Uncommon ; Justin Sweet ;  Time Spiral
165 ; Ironclaw Buzzardiers ; Creature — Orc Scout 2/2 ; 2R ; Common ; Carl Critchlow ;  Time Spiral
166 ; Jaya Ballard, Task Mage ; Legendary Creature — Human Spellshaper 2/2 ; 1RR ; Rare ; Matt Cavotta ;  Time Spiral
167 ; Keldon Halberdier ; Creature — Human Warrior 4/1 ; 4R ; Common ; Parente ;  Time Spiral
168 ; Lightning Axe ; Instant ; R ; Common ; Dan Scott ;  Time Spiral
169 ; Magus of the Scroll ; Creature — Human Wizard 1/1 ; R ; Rare ; Greg Staples ;  Time Spiral
170 ; Mogg War Marshal ; Creature — Goblin Warrior 1/1 ; 1R ; Common ; Wayne England ;  Time Spiral
171 ; Norin the Wary ; Legendary Creature — Human Warrior 2/1 ; R ; Rare ; Heather Hudson ;  Time Spiral
172 ; Orcish Cannonade ; Instant ; 1RR ; Common ; Pete Venters ;  Time Spiral
173 ; Pardic Dragon ; Creature — Dragon 4/4 ; 4RR ; Rare ; Zoltan Boros & Gabor Szikszai ;  Time Spiral
174 ; Plunder ; Sorcery ; 4R ; Common ; Thomas M. Baxa ;  Time Spiral
175 ; Reiterate ; Instant ; 1RR ; Rare ; Dan Scott ;  Time Spiral
176 ; Rift Bolt ; Sorcery ; 2R ; Common ; Michael Sutfin ;  Time Spiral
177 ; Sedge Sliver ; Creature — Sliver 2/2 ; 2R ; Rare ; Richard Kane Ferguson ;  Time Spiral
178 ; Subterranean Shambler ; Creature — Elemental 2/3 ; 3R ; Common ; Kev Walker ;  Time Spiral
179 ; Sudden Shock ; Instant ; 1R ; Uncommon ; Vance Kovacs ;  Time Spiral
180 ; Sulfurous Blast ; Instant ; 2RR ; Uncommon ; Jeff Miracola ;  Time Spiral
181 ; Tectonic Fiend ; Creature — Elemental 7/7 ; 4RR ; Uncommon ; Mark Tedin ;  Time Spiral
182 ; Thick-Skinned Goblin ; Creature — Goblin Shaman 2/1 ; 1R ; Uncommon ; Ralph Horsley ;  Time Spiral
183 ; Two-Headed Sliver ; Creature — Sliver 1/1 ; 1R ; Common ; Dany Orizio ;  Time Spiral
184 ; Undying Rage ; Enchantment — Aura ; 2R ; Uncommon ; Scott M. Fischer ;  Time Spiral
185 ; Viashino Bladescout ; Creature — Viashino Scout 2/1 ; 1RR ; Common ; Dany Orizio ;  Time Spiral
186 ; Volcanic Awakening ; Sorcery ; 4RR ; Uncommon ; Dan Scott ;  Time Spiral
187 ; Wheel of Fate ; Sorcery ; ; Rare ; Kev Walker ;  Time Spiral
188 ; Word of Seizing ; Instant ; 3RR ; Rare ; Vance Kovacs ;  Time Spiral
189 ; Ather Web ; Enchantment — Aura ; 1G ; Common ; Justin Sweet ;  Time Spiral
190 ; Ashcoat Bear ; Creature — Bear 2/2 ; 1G ; Common ; Carl Critchlow ;  Time Spiral
191 ; Aspect of Mongoose ; Enchantment — Aura ; 1G ; Uncommon ; Dave Dorman ;  Time Spiral
192 ; Chameleon Blur ; Instant ; 3G ; Common ; Anthony S. Waters ;  Time Spiral
193 ; Durkwood Baloth ; Creature — Beast 5/5 ; 4GG ; Common ; Dan Frazier ;  Time Spiral
194 ; Durkwood Tracker ; Creature — Giant 4/3 ; 4G ; Uncommon ; Michael Phillippi ;  Time Spiral
195 ; Fungus Sliver ; Creature — Fungus Sliver 2/2 ; 3G ; Rare ; Daniel Gelon ;  Time Spiral
196 ; Gemhide Sliver ; Creature — Sliver 1/1 ; 1G ; Common ; John Matson ;  Time Spiral
197 ; Glass Asp ; Creature — Snake 2/1 ; 1GG ; Common ; Richard Kane Ferguson ;  Time Spiral
198 ; Greenseeker ; Creature — Elf Spellshaper 1/1 ; G ; Common ; Rebecca Guay ;  Time Spiral
199 ; Havenwood Wurm ; Creature — Wurm 5/6 ; 6G ; Common ; Stuart Griffin ;  Time Spiral
200 ; Herd Gnarr ; Creature — Beast 2/2 ; 3G ; Common ; Daren Bader ;  Time Spiral
201 ; Hypergenesis ; Sorcery ; ; Rare ; Ron Spears ;  Time Spiral
202 ; Krosan Grip ; Instant ; 2G ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Time Spiral
203 ; Magus of the Candelabra ; Creature — Human Wizard 1/2 ; G ; Rare ; Terese Nielsen ;  Time Spiral
204 ; Might of Old Krosa ; Instant ; G ; Uncommon ; Una Fricker ;  Time Spiral
205 ; Might Sliver ; Creature — Sliver 2/2 ; 4G ; Uncommon ; Jeff Miracola ;  Time Spiral
206 ; Molder ; Instant ; XG ; Common ; Greg Hildebrandt ;  Time Spiral
207 ; Mwonvuli Acid-Moss ; Sorcery ; 2GG ; Common ; Randy Gallegos ;  Time Spiral
208 ; Nantuko Shaman ; Creature — Insect Shaman 3/2 ; 2G ; Common ; Daren Bader ;  Time Spiral
209 ; Pendelhaven Elder ; Creature — Elf Shaman 1/1 ; 1G ; Uncommon ; Pete Venters ;  Time Spiral
210 ; Penumbra Spider ; Creature — Spider 2/4 ; 2GG ; Common ; Jeff Easley ;  Time Spiral
211 ; Phantom Wurm ; Creature — Wurm Spirit 2/0 ; 4GG ; Uncommon ; Alan Pollack ;  Time Spiral
212 ; Primal Forcemage ; Creature — Elf Shaman 2/2 ; 2G ; Uncommon ; Jeff Miracola ;  Time Spiral
213 ; Savage Thallid ; Creature — Fungus 5/2 ; 3GG ; Common ; Luca Zontini ;  Time Spiral
214 ; Scarwood Treefolk ; Creature — Treefolk 3/5 ; 3G ; Common ; Stuart Griffin ;  Time Spiral
215 ; Scryb Ranger ; Creature — Faerie 1/1 ; 1G ; Uncommon ; Rebecca Guay ;  Time Spiral
216 ; Search for Tomorrow ; Sorcery ; 2G ; Common ; Randy Gallegos ;  Time Spiral
217 ; Spectral Force ; Creature — Elemental Spirit 8/8 ; 3GG ; Rare ; Dan Scott ;  Time Spiral
218 ; Spike Tiller ; Creature — Spike 0/0 ; 3GG ; Rare ; Tony Szczudlo ;  Time Spiral
219 ; Spinneret Sliver ; Creature — Sliver 2/2 ; 1G ; Common ; Michael Sutfin ;  Time Spiral
220 ; Sporesower Thallid ; Creature — Fungus 4/4 ; 2GG ; Uncommon ; Ron Spencer ;  Time Spiral
221 ; Sprout ; Instant ; G ; Common ; Anthony S. Waters ;  Time Spiral
222 ; Squall Line ; Instant ; XGG ; Rare ; Lars Grant-West ;  Time Spiral
223 ; Stonewood Invocation ; Instant ; 3G ; Rare ; Pete Venters ;  Time Spiral
224 ; Strength in Numbers ; Instant ; 1G ; Common ; Ron Spencer ;  Time Spiral
225 ; Thallid Germinator ; Creature — Fungus 2/2 ; 2G ; Common ; Tom Wänerstrand ;  Time Spiral
226 ; Thallid Shell-Dweller ; Creature — Fungus 0/5 ; 1G ; Common ; Carl Critchlow ;  Time Spiral
227 ; Thelon of Havenwood ; Legendary Creature — Elf Druid 2/2 ; GG ; Rare ; Kev Walker ;  Time Spiral
228 ; Thelonite Hermit ; Creature — Elf Shaman 1/1 ; 3G ; Rare ; Chippy ;  Time Spiral
229 ; Thrill of the Hunt ; Instant ; G ; Common ; Stephen Tappin ;  Time Spiral
230 ; Tromp the Domains ; Sorcery ; 5G ; Uncommon ; Mike Dringenberg ;  Time Spiral
231 ; Unyaro Bees ; Creature — Insect 0/1 ; GGG ; Rare ; Tom Wänerstrand ;  Time Spiral
232 ; Verdant Embrace ; Enchantment — Aura ; 3GG ; Rare ; Stephen Tappin ;  Time Spiral
233 ; Wormwood Dryad ; Creature — Dryad 3/1 ; 2G ; Common ; Warren Mahy ;  Time Spiral
234 ; Wurmcalling ; Sorcery ; XG ; Rare ; Jeff Easley ;  Time Spiral
235 ; Yavimaya Dryad ; Creature — Dryad 2/1 ; 1GG ; Uncommon ; Rebecca Guay ;  Time Spiral
236 ; Dementia Sliver ; Creature — Sliver 3/3 ; 3UB ; Uncommon ; Una Fricker ;  Time Spiral
237 ; Dralnu, Lich Lord ; Legendary Creature — Zombie Lord 3/3 ; 3UB ; Rare ; Greg Staples ;  Time Spiral
238 ; Firewake Sliver ; Creature — Sliver 1/1 ; 1RG ; Uncommon ; Anthony S. Waters ;  Time Spiral
239 ; Ghostflame Sliver ; Creature — Sliver 2/2 ; BR ; Uncommon ; Luca Zontini ;  Time Spiral
240 ; Harmonic Sliver ; Creature — Sliver 1/1 ; 1WG ; Uncommon ; Luca Zontini ;  Time Spiral
241 ; Ith, High Arcanist ; Legendary Creature — Human Wizard 3/5 ; 5WU ; Rare ; Zoltan Boros & Gabor Szikszai ;  Time Spiral
242 ; Kaervek the Merciless ; Legendary Creature — Human Shaman 5/4 ; 5BR ; Rare ; rk post ;  Time Spiral
243 ; Mishra, Artificer Prodigy ; Legendary Creature — Human Artificer 4/4 ; 1UBR ; Rare ; Scott M. Fischer ;  Time Spiral
244 ; Opaline Sliver ; Creature — Sliver 2/2 ; 1WU ; Uncommon ; Dave Dorman ;  Time Spiral
245 ; Saffi Eriksdotter ; Legendary Creature — Human Scout 2/2 ; WG ; Rare ; Christopher Moeller ;  Time Spiral
246 ; Scion of the Ur-Dragon ; Legendary Creature — Dragon Avatar 4/4 ; WUBRG ; Rare ; Jim Murray ;  Time Spiral
247 ; Stonebrow, Krosan Hero ; Legendary Creature — Centaur Warrior 4/4 ; 3RG ; Rare ; Ron Spears ;  Time Spiral
248 ; Assembly-Worker ; Artifact Creature — Assembly-Worker 2/2 ; 3 ; Uncommon ; Chippy ;  Time Spiral
249 ; Brass Gnat ; Artifact Creature — Insect 1/1 ; 1 ; Common ; Martina Pilcerova ;  Time Spiral
250 ; Candles of Leng ; Artifact ; 2 ; Rare ; Daniel Gelon ;  Time Spiral
251 ; Chromatic Star ; Artifact ; 1 ; Common ; Alex Horley-Orlandelli ;  Time Spiral
252 ; Chronatog Totem ; Artifact ; 3 ; Uncommon ; Christopher Rush ;  Time Spiral
