1 ; Alabaster Leech ; Creature - Leech 1/3 ; W ; Rare ; Edward P. Beard, Jr. ;  Invasion
61 ; Metathran Aerostat ; Creature - Ship 2/2 ; 2UU ; Rare ; Greg Staples ;  Invasion
62 ; Metathran Transport ; Creature - Ship 1/3 ; 1UU ; Uncommon ; Glen Angus ;  Invasion
63 ; Metathran Zombie ; Creature - Zombie 1/1 ; 1U ; Common ; Arnie Swekel ;  Invasion
64 ; Opt ; Instant ; U ; Common ; John Howe ;  Invasion
65 ; Phantasmal Terrain ; Enchant Land ; UU ; Common ; Dana Knutson ;  Invasion
66 ; Probe ; Sorcery ; 2U ; Common ; Eric Peterson ;  Invasion
67 ; Prohibit ; Instant ; 1U ; Common ; Adam Rex ;  Invasion
68 ; Psychic Battle ; Enchantment ; 3UU ; Rare ; Ray Lago ;  Invasion
69 ; Rainbow Crow ; Creature - Bird 2/2 ; 3U ; Uncommon ; Edward P. Beard, Jr. ;  Invasion
70 ; Repulse ; Instant ; 2U ; Common ; Aaron Boyd ;  Invasion
71 ; Sapphire Leech ; Creature - Leech 2/2 ; 1U ; Rare ; Ron Spencer ;  Invasion
72 ; Shimmering Wings ; Enchant Creature ; U ; Common ; Carl Critchlow ;  Invasion
73 ; Shoreline Raider ; Creature - Merfolk 2/2 ; 2U ; Common ; Nelson DeCastro ;  Invasion
74 ; Sky Weaver ; Creature - Wizard 2/1 ; 1U ; Uncommon ; Christopher Moeller ;  Invasion
75 ; Stormscape Apprentice ; Creature - Wizard 1/1 ; U ; Common ; D. Alexander Gregory ;  Invasion
76 ; Stormscape Master ; Creature - Wizard 2/2 ; 2UU ; Rare ; Hannibal King ;  Invasion
77 ; Sway of Illusion ; Instant ; 1U ; Uncommon ; Greg & Tim Hildebrandt ;  Invasion
78 ; Teferi's Response ; Instant ; 1U ; Rare ; Scott Bailey ;  Invasion
79 ; Temporal Distortion ; Enchantment ; 3UU ; Rare ; Stephanie Law ;  Invasion
80 ; Tidal Visionary ; Creature - Wizard 1/1 ; U ; Common ; Glen Angus ;  Invasion
81 ; Tolarian Emissary ; Creature - Wizard 1/2 ; 2U ; Uncommon ; Ron Spencer ;  Invasion
82 ; Tower Drake ; Creature - Drake 2/1 ; 2U ; Common ; Carl Critchlow ;  Invasion
83 ; Traveler's Cloak ; Enchant Creature ; 2U ; Common ; Rebecca Guay ;  Invasion
84 ; Vodalian Hypnotist ; Creature - Wizard 1/1 ; 1U ; Uncommon ; Rebecca Guay ;  Invasion
85 ; Vodalian Merchant ; Creature - Merfolk 1/2 ; 1U ; Common ; Scott M. Fischer ;  Invasion
86 ; Vodalian Serpent ; Creature - Serpent 2/2 ; 3U ; Common ; Christopher Moeller ;  Invasion
87 ; Wash Out ; Sorcery ; 3U ; Uncommon ; Matthew D. Wilson ;  Invasion
88 ; Well-Laid Plans ; Enchantment ; 2U ; Rare ; Kev Walker ;  Invasion
89 ; Worldly Counsel ; Instant ; 1U ; Common ; Gary Ruddell ;  Invasion
90 ; Zanam Djinn ; Creature - Djinn 5/6 ; 5U ; Uncommon ; Eric Peterson ;  Invasion
91 ; Addle ; Sorcery ; 1B ; Uncommon ; Ron Spears ;  Invasion
92 ; Agonizing Demise ; Instant ; 3B ; Common ; Mark Brill ;  Invasion
93 ; Andradite Leech ; Creature - Leech 2/2 ; 2B ; Rare ; Wayne England ;  Invasion
94 ; Annihilate ; Instant ; 3BB ; Uncommon ; Kev Walker ;  Invasion
95 ; Bog Initiate ; Creature - Wizard 1/1 ; 1B ; Common ; rk post ;  Invasion
96 ; Cremate ; Instant ; B ; Uncommon ; Andrew Goldhawk ;  Invasion
97 ; Crypt Angel ; Creature - Angel 3/3 ; 4B ; Rare ; Todd Lockwood ;  Invasion
98 ; Cursed Flesh ; Enchant Creature ; B ; Common ; Chippy ;  Invasion
99 ; Defiling Tears ; Instant ; 2B ; Uncommon ; rk post ;  Invasion
100 ; Desperate Research ; Sorcery ; 1B ; Rare ; Ron Spencer ;  Invasion
101 ; Devouring Strossus ; Creature - Horror 9/9 ; 5BBB ; Rare ; D. Alexander Gregory ;  Invasion
102 ; Do or Die ; Sorcery ; 1B ; Rare ; Christopher Moeller ;  Invasion
103 ; Dredge ; Instant ; B ; Uncommon ; Donato Giancola ;  Invasion
104 ; Duskwalker ; Creature - Minion 1/1 ; B ; Common ; David Martin ;  Invasion
105 ; Exotic Curse ; Enchant Creature ; 2B ; Common ; Orizio Daniele ;  Invasion
106 ; Firescreamer ; Creature - Kavu 2/2 ; 3B ; Common ; Alan Pollack ;  Invasion
107 ; Goham Djinn ; Creature - Djinn 5/5 ; 5B ; Uncommon ; Ron Spencer ;  Invasion
108 ; Hate Weaver ; Creature - Wizard 2/1 ; 1B ; Uncommon ; Roger Raupp ;  Invasion
109 ; Hypnotic Cloud ; Sorcery ; 1B ; Common ; Randy Gallegos ;  Invasion
110 ; Marauding Knight ; Creature - Knight 2/2 ; 2BB ; Rare ; Daren Bader ;  Invasion
111 ; Mourning ; Enchant Creature ; 1B ; Common ; Terese Nielsen ;  Invasion
112 ; Nightscape Apprentice ; Creature - Wizard 1/1 ; B ; Common ; Andrew Goldhawk ;  Invasion
113 ; Nightscape Master ; Creature - Wizard 2/2 ; 2BB ; Rare ; Andrew Goldhawk ;  Invasion
114 ; Phyrexian Battleflies ; Creature - Insect 0/1 ; B ; Common ; Dan Frazier ;  Invasion
115 ; Phyrexian Delver ; Creature - Zombie 3/2 ; 3BB ; Rare ; Dana Knutson ;  Invasion
116 ; Phyrexian Infiltrator ; Creature - Minion 2/2 ; 2B ; Rare ; Darrell Riche ;  Invasion
117 ; Phyrexian Reaper ; Creature - Zombie 3/3 ; 4B ; Common ; Sam Wood ;  Invasion
118 ; Phyrexian Slayer ; Creature - Minion 2/2 ; 3B ; Common ; Sam Wood ;  Invasion
119 ; Plague Spitter ; Creature - Horror 2/2 ; 2B ; Uncommon ; Chippy ;  Invasion
120 ; Ravenous Rats ; Creature - Rat 1/1 ; 1B ; Common ; Tom Wänerstrand ;  Invasion
121 ; Reckless Spite ; Instant ; 1BB ; Uncommon ; Chippy ;  Invasion
122 ; Recover ; Sorcery ; 2B ; Common ; Nelson DeCastro ;  Invasion
123 ; Scavenged Weaponry ; Enchant Creature ; 2B ; Common ; Alan Pollack ;  Invasion
124 ; Soul Burn ; Sorcery ; X2B ; Common ; Andrew Goldhawk ;  Invasion
125 ; Spreading Plague ; Enchantment ; 4B ; Rare ; Scott Bailey ;  Invasion
126 ; Tainted Well ; Enchant Land ; 2B ; Common ; Val Mayerik ;  Invasion
127 ; Trench Wurm ; Creature - Wurm 3/3 ; 3B ; Uncommon ; Wayne England ;  Invasion
128 ; Tsabo's Assassin ; Creature - Assassin 1/1 ; 2BB ; Rare ; Glen Angus ;  Invasion
129 ; Tsabo's Decree ; Instant ; 5B ; Rare ; Thomas M. Baxa ;  Invasion
130 ; Twilight's Call ; Sorcery ; 4BB ; Rare ; Mark Romanoski ;  Invasion
131 ; Urborg Emissary ; Creature - Wizard 3/1 ; 2B ; Uncommon ; Eric Peterson ;  Invasion
132 ; Urborg Phantom ; Creature - Minion 3/1 ; 2B ; Common ; Daren Bader ;  Invasion
133 ; Urborg Shambler ; Creature - Horror 4/3 ; 2BB ; Uncommon ; Pete Venters ;  Invasion
134 ; Urborg Skeleton ; Creature - Skeleton 0/1 ; B ; Common ; Alan Pollack ;  Invasion
135 ; Yawgmoth's Agenda ; Enchantment ; 3BB ; Rare ; Arnie Swekel ;  Invasion
136 ; Ancient Kavu ; Creature - Kavu 3/3 ; 3R ; Common ; Glen Angus ;  Invasion
137 ; Bend or Break ; Sorcery ; 3R ; Rare ; Arnie Swekel ;  Invasion
138 ; Breath of Darigaaz ; Sorcery ; 1R ; Uncommon ; Greg & Tim Hildebrandt ;  Invasion
139 ; Callous Giant ; Creature - Giant 4/4 ; 4RR ; Rare ; Mark Brill ;  Invasion
140 ; Chaotic Strike ; Instant ; 1R ; Uncommon ; Massimilano Frezzato ;  Invasion
141 ; Collapsing Borders ; Enchantment ; 3R ; Rare ; Glen Angus ;  Invasion
142 ; Crown of Flames ; Enchant Creature ; R ; Common ; Christopher Moeller ;  Invasion
143 ; Firebrand Ranger ; Creature - Soldier 2/1 ; 1R ; Uncommon ; Quinton Hoover ;  Invasion
144 ; Ghitu Fire ; Sorcery ; XR ; Rare ; Glen Angus ;  Invasion
145 ; Goblin Spy ; Creature - Goblin 1/1 ; R ; Uncommon ; Scott M. Fischer ;  Invasion
146 ; Halam Djinn ; Creature - Djinn 6/5 ; 5R ; Uncommon ; Adam Rex ;  Invasion
147 ; Hooded Kavu ; Creature - Kavu 2/2 ; 2R ; Common ; John Howe ;  Invasion
148 ; Kavu Aggressor ; Creature - Kavu 3/2 ; 2R ; Common ; Christopher Moeller ;  Invasion
149 ; Kavu Monarch ; Creature - Kavu 3/3 ; 2RR ; Rare ; Terese Nielsen ;  Invasion
150 ; Kavu Runner ; Creature - Kavu 3/3 ; 3R ; Uncommon ; Douglas Shuler ;  Invasion
151 ; Kavu Scout ; Creature - Kavu 0/2 ; 2R ; Common ; DiTerlizzi ;  Invasion
152 ; Lightning Dart ; Instant ; 1R ; Uncommon ; Arnie Swekel ;  Invasion
153 ; Loafing Giant ; Creature - Giant 4/6 ; 4R ; Rare ; Greg & Tim Hildebrandt ;  Invasion
154 ; Mages' Contest ; Instant ; 1RR ; Rare ; Bradley Williams ;  Invasion
155 ; Maniacal Rage ; Enchant Creature ; 1R ; Common ; Matt Cavotta ;  Invasion
156 ; Obliterate ; Sorcery ; 6RR ; Rare ; Kev Walker ;  Invasion
157 ; Overload ; Instant ; R ; Common ; Gary Ruddell ;  Invasion
158 ; Pouncing Kavu ; Creature - Kavu 1/1 ; 1R ; Common ; Adam Rex ;  Invasion
159 ; Rage Weaver ; Creature - Wizard 2/1 ; 1R ; Uncommon ; John Matson ;  Invasion
160 ; Rogue Kavu ; Creature - Kavu 1/1 ; 1R ; Common ; Darrell Riche ;  Invasion
161 ; Ruby Leech ; Creature - Leech 2/2 ; 1R ; Rare ; Jacques Bredy ;  Invasion
162 ; Savage Offensive ; Sorcery ; 1R ; Common ; Greg & Tim Hildebrandt ;  Invasion
163 ; Scarred Puma ; Creature - Cat 2/1 ; R ; Common ; Aaron Boyd ;  Invasion
164 ; Scorching Lava ; Instant ; 1R ; Common ; Mark Tedin ;  Invasion
165 ; Searing Rays ; Sorcery ; 2R ; Uncommon ; Doug Chaffee ;  Invasion
166 ; Shivan Emissary ; Creature - Wizard 1/1 ; 2R ; Uncommon ; Paolo Parente ;  Invasion
167 ; Shivan Harvest ; Enchantment ; 1R ; Uncommon ; Daren Bader ;  Invasion
168 ; Skittish Kavu ; Creature - Kavu 1/1 ; 1R ; Uncommon ; Pete Venters ;  Invasion
169 ; Skizzik ; Creature - Elemental 5/3 ; 3R ; Rare ; Ron Spencer ;  Invasion
170 ; Slimy Kavu ; Creature - Kavu 2/2 ; 2R ; Common ; Randy Gallegos ;  Invasion
171 ; Stand or Fall ; Enchantment ; 3R ; Rare ; Matt Cavotta ;  Invasion
172 ; Stun ; Instant ; 1R ; Common ; Mike Ploog ;  Invasion
173 ; Tectonic Instability ; Enchantment ; 2R ; Rare ; Rob Alexander ;  Invasion
174 ; Thunderscape Apprentice ; Creature - Wizard 1/1 ; R ; Common ; D. Alexander Gregory ;  Invasion
175 ; Thunderscape Master ; Creature - Wizard 2/2 ; 2RR ; Rare ; Scott M. Fischer ;  Invasion
176 ; Tribal Flames ; Sorcery ; 1R ; Common ; Tony Szczudlo ;  Invasion
177 ; Turf Wound ; Instant ; 2R ; Common ; Thomas Gianni ;  Invasion
178 ; Urza's Rage ; Instant ; 2R ; Rare ; Matthew D. Wilson ;  Invasion
179 ; Viashino Grappler ; Creature - Viashino 3/1 ; 2R ; Common ; Mark Romanoski ;  Invasion
180 ; Zap ; Instant ; 2R ; Common ; John Matson ;  Invasion
181 ; Aggressive Urge ; Instant ; 1G ; Common ; Christopher Moeller ;  Invasion
182 ; Bind ; Instant ; 1G ; Rare ; Mark Zug ;  Invasion
183 ; Blurred Mongoose ; Creature - Mongoose 2/1 ; 1G ; Rare ; Heather Hudson ;  Invasion
184 ; Canopy Surge ; Sorcery ; 1G ; Uncommon ; Matt Cavotta ;  Invasion
185 ; Elfhame Sanctuary ; Enchantment ; 1G ; Uncommon ; Alan Rabinowitz ;  Invasion
186 ; Elvish Champion ; Creature - Lord 2/2 ; 1GG ; Rare ; D. Alexander Gregory ;  Invasion
187 ; Explosive Growth ; Instant ; G ; Common ; Arnie Swekel ;  Invasion
188 ; Fertile Ground ; Enchant Land ; 1G ; Common ; Carl Critchlow ;  Invasion
189 ; Harrow ; Instant ; 2G ; Common ; Rob Alexander ;  Invasion
190 ; Jade Leech ; Creature - Leech 5/5 ; 2GG ; Rare ; John Howe ;  Invasion
191 ; Kavu Chameleon ; Creature - Kavu 4/4 ; 3GG ; Uncommon ; John Howe ;  Invasion
192 ; Kavu Climber ; Creature - Kavu 3/3 ; 3GG ; Common ; Rob Alexander ;  Invasion
193 ; Kavu Lair ; Enchantment ; 2G ; Rare ; Chippy ;  Invasion
194 ; Kavu Titan ; Creature - Kavu 2/2 ; 1G ; Rare ; Todd Lockwood ;  Invasion
195 ; Llanowar Cavalry ; Creature - Soldier 1/4 ; 2G ; Common ; Eric Peterson ;  Invasion
196 ; Llanowar Elite ; Creature - Elf 1/1 ; G ; Common ; Kev Walker ;  Invasion
197 ; Llanowar Vanguard ; Creature - Dryad 1/1 ; 2G ; Common ; Greg & Tim Hildebrandt ;  Invasion
198 ; Might Weaver ; Creature - Wizard 2/1 ; 1G ; Uncommon ; Larry Elmore ;  Invasion
199 ; Molimo, Maro-Sorcerer ; Creature - Legend */* ; 4GGG ; Rare ; Mark Zug ;  Invasion
200 ; Nomadic Elf ; Creature - Elf 2/2 ; 1G ; Common ; D. J. Cleland-Hura ;  Invasion
201 ; Pincer Spider ; Creature - Spider 2/3 ; 2G ; Common ; Dan Frazier ;  Invasion
202 ; Pulse of Llanowar ; Enchantment ; 3G ; Uncommon ; Rebecca Guay ;  Invasion
203 ; Quirion Elves ; Creature - Elf 1/1 ; 1G ; Common ; Douglas Shuler ;  Invasion
204 ; Quirion Sentinel ; Creature - Elf 2/1 ; 1G ; Common ; Heather Hudson ;  Invasion
205 ; Quirion Trailblazer ; Creature - Elf 1/2 ; 3G ; Common ; Rebecca Guay ;  Invasion
206 ; Restock ; Sorcery ; 3GG ; Rare ; Daren Bader ;  Invasion
207 ; Rooting Kavu ; Creature - Kavu 4/3 ; 2GG ; Uncommon ; Heather Hudson ;  Invasion
208 ; Saproling Infestation ; Enchantment ; 1G ; Rare ; Heather Hudson ;  Invasion
209 ; Saproling Symbiosis ; Sorcery ; 3G ; Rare ; Ciruelo ;  Invasion
210 ; Scouting Trek ; Sorcery ; 1G ; Uncommon ; Stephanie Law ;  Invasion
211 ; Serpentine Kavu ; Creature - Kavu 4/4 ; 4G ; Common ; Heather Hudson ;  Invasion
212 ; Sulam Djinn ; Creature - Djinn 6/6 ; 5G ; Uncommon ; Greg & Tim Hildebrandt ;  Invasion
213 ; Tangle ; Instant ; 1G ; Uncommon ; John Avon ;  Invasion
214 ; Thicket Elemental ; Creature - Elemental 4/4 ; 3GG ; Rare ; Ron Spencer ;  Invasion
215 ; Thornscape Apprentice ; Creature - Wizard 1/1 ; G ; Common ; Randy Gallegos ;  Invasion
216 ; Thornscape Master ; Creature - Wizard 2/2 ; 2GG ; Rare ; Larry Elmore ;  Invasion
217 ; Tranquility ; Sorcery ; 2G ; Common ; Rob Alexander ;  Invasion
218 ; Treefolk Healer ; Creature - Treefolk 2/3 ; 4G ; Uncommon ; Matt Cavotta ;  Invasion
219 ; Utopia Tree ; Creature - Plant 0/2 ; 1G ; Rare ; Gary Ruddell ;  Invasion
220 ; Verdeloth the Ancient ; Creature - Treefolk Legend 4/7 ; 4GG ; Rare ; Daren Bader ;  Invasion
221 ; Verduran Emissary ; Creature - Wizard 2/3 ; 2G ; Uncommon ; Alton Lawson ;  Invasion
222 ; Vigorous Charge ; Instant ; G ; Common ; Scott M. Fischer ;  Invasion
223 ; Wallop ; Sorcery ; 1G ; Uncommon ; Mike Ploog ;  Invasion
224 ; Wandering Stream ; Sorcery ; 2G ; Common ; Quinton Hoover ;  Invasion
225 ; Whip Silk ; Enchant Creature ; G ; Common ; Dave Dorman ;  Invasion
226 ; Absorb ; Instant ; WUU ; Rare ; Andrew Goldhawk ;  Invasion
227 ; Ather Rift ; Enchantment ; 1RG ; Rare ; Heather Hudson ;  Invasion
228 ; Angelic Shield ; Enchantment ; WU ; Uncommon ; Adam Rex ;  Invasion
229 ; Armadillo Cloak ; Enchant Creature ; 1WG ; Common ; Paolo Parente ;  Invasion
230 ; Armored Guardian ; Creature - Guardian 2/5 ; 3WU ; Rare ; Arnie Swekel ;  Invasion
231 ; Artifact Mutation ; Instant ; RG ; Rare ; Greg Staples ;  Invasion
232 ; Aura Mutation ; Instant ; WG ; Rare ; Pete Venters ;  Invasion
233 ; Aura Shards ; Enchantment ; 1WG ; Uncommon ; Ron Spencer ;  Invasion
234 ; Backlash ; Instant ; 1BR ; Uncommon ; Chippy ;  Invasion
235 ; Barrin's Spite ; Sorcery ; 2UB ; Rare ; Terese Nielsen ;  Invasion
236 ; Blazing Specter ; Creature - Specter 2/2 ; 2BR ; Rare ; Marc Fishman ;  Invasion
237 ; Captain Sisay ; Creature - Legend 2/2 ; 2WG ; Rare ; Ray Lago ;  Invasion
238 ; Cauldron Dance ; Instant ; 4BR ; Uncommon ; Donato Giancola ;  Invasion
239 ; Charging Troll ; Creature - Troll 3/3 ; 2WG ; Uncommon ; Dave Dorman ;  Invasion
240 ; Cinder Shade ; Creature - Shade 1/1 ; 1BR ; Uncommon ; Nelson DeCastro ;  Invasion
241 ; Coalition Victory ; Sorcery ; 3WUBRG ; Rare ; Eric Peterson ;  Invasion
242 ; Crosis, the Purger ; Creature - Dragon Legend 6/6 ; 3UBR ; Rare ; Pete Venters ;  Invasion
243 ; Darigaaz, the Igniter ; Creature - Dragon Legend 6/6 ; 3BRG ; Rare ; Mark Zug ;  Invasion
244 ; Dromar, the Banisher ; Creature - Dragon Legend 6/6 ; 3WUB ; Rare ; Dave Dorman ;  Invasion
245 ; Dueling Grounds ; Enchantment ; 1WG ; Rare ; Pete Venters ;  Invasion
246 ; Fires of Yavimaya ; Enchantment ; 1RG ; Uncommon ; Val Mayerik ;  Invasion
247 ; Frenzied Tilling ; Sorcery ; 3RG ; Common ; Mike Raabe ;  Invasion
248 ; Galina's Knight ; Creature - Merfolk Knight 2/2 ; WU ; Common ; David Martin ;  Invasion
249 ; Hanna, Ship's Navigator ; Creature - Legend 1/2 ; 1WU ; Rare ; Dave Dorman ;  Invasion
250 ; Heroes' Reunion ; Instant ; WG ; Uncommon ; Terese Nielsen ;  Invasion
251 ; Horned Cheetah ; Creature - Cat 2/2 ; 2WG ; Uncommon ; John Matson ;  Invasion
252 ; Hunting Kavu ; Creature - Kavu 2/3 ; 1RG ; Uncommon ; Scott M. Fischer ;  Invasion
253 ; Kangee, Aerie Keeper ; Creature - Legend 2/2 ; 2WU ; Rare ; Mark Romanoski ;  Invasion
254 ; Llanowar Knight ; Creature - Elf Knight 2/2 ; WG ; Common ; Heather Hudson ;  Invasion
255 ; Lobotomy ; Sorcery ; 2UB ; Uncommon ; D. Alexander Gregory ;  Invasion
256 ; Meteor Storm ; Enchantment ; RG ; Rare ; John Avon ;  Invasion
257 ; Noble Panther ; Creature - Cat 3/3 ; 1WG ; Rare ; Matt Cavotta ;  Invasion
258 ; Ordered Migration ; Sorcery ; 3WU ; Uncommon ; Heather Hudson ;  Invasion
259 ; Overabundance ; Enchantment ; 1RG ; Rare ; Ben Thompson ;  Invasion
260 ; Plague Spores ; Sorcery ; 4BR ; Common ; Randy Gallegos ;  Invasion
261 ; Pyre Zombie ; Creature - Zombie 2/1 ; 1BR ; Rare ; Nelson DeCastro ;  Invasion
262 ; Raging Kavu ; Creature - Kavu 3/1 ; 1RG ; Rare ; Arnie Swekel ;  Invasion
263 ; Reckless Assault ; Enchantment ; 2BR ; Rare ; Jeff Easley ;  Invasion
264 ; Recoil ; Instant ; 1UB ; Common ; Alan Pollack ;  Invasion
265 ; Reviving Vapors ; Instant ; 2WU ; Uncommon ; Pete Venters ;  Invasion
266 ; Riptide Crab ; Creature - Crab 1/3 ; 1WU ; Uncommon ; David Martin ;  Invasion
267 ; Rith, the Awakener ; Creature - Dragon Legend 6/6 ; 3WRG ; Rare ; Carl Critchlow ;  Invasion
268 ; Sabertooth Nishoba ; Creature - Beast 5/5 ; 4WG ; Rare ; Gary Ruddell ;  Invasion
269 ; Samite Archer ; Creature - Cleric 1/1 ; 1WU ; Uncommon ; Scott M. Fischer ;  Invasion
270 ; Seer's Vision ; Enchantment ; 2UB ; Uncommon ; Rebecca Guay ;  Invasion
271 ; Shivan Zombie ; Creature - Barbarian Zombie 2/2 ; BR ; Common ; Tony Szczudlo ;  Invasion
272 ; Simoon ; Instant ; RG ; Uncommon ; Tony Szczudlo ;  Invasion
273 ; Sleeper's Robe ; Enchant Creature ; UB ; Uncommon ; Alan Pollack ;  Invasion
274 ; Slinking Serpent ; Creature - Serpent 2/3 ; 2UB ; Uncommon ; Wayne England ;  Invasion
275 ; Smoldering Tar ; Enchantment ; 2BR ; Uncommon ; David Day ;  Invasion
276 ; Spinal Embrace ; Instant ; 3UUB ; Rare ; Donato Giancola ;  Invasion
277 ; Stalking Assassin ; Creature - Assassin 1/1 ; 1UB ; Rare ; Dana Knutson ;  Invasion
278 ; Sterling Grove ; Enchantment ; WG ; Uncommon ; Jeff Miracola ;  Invasion
279 ; Teferi's Moat ; Enchantment ; 3WU ; Rare ; rk post ;  Invasion
